Time(UTC),Symbol,Funding Rate
2022-11-18 16:00:00+00:00,BTCUSD,-0.00010913
2022-11-18 08:00:00+00:00,BTCUSD,-0.00038229
2022-11-18 00:00:00+00:00,BTCUSD,-0.00013492
2022-11-17 16:00:00+00:00,BTCUSD,1.256e-05
2022-11-17 08:00:00+00:00,BTCUSD,5.295e-05
2022-11-17 00:00:00+00:00,BTCUSD,5.547e-05
2022-11-16 16:00:00+00:00,BTCUSD,0.0001
2022-11-16 08:00:00+00:00,BTCUSD,-3.278e-05
2022-11-16 00:00:00+00:00,BTCUSD,-0.00049592
2022-11-15 16:00:00+00:00,BTCUSD,-0.00043012
2022-11-15 08:00:00+00:00,BTCUSD,-0.00106135
2022-11-15 00:00:00+00:00,BTCUSD,-0.0001224
2022-11-14 16:00:00+00:00,BTCUSD,-0.00102931
2022-11-14 08:00:00+00:00,BTCUSD,-0.00037054
2022-11-14 00:00:00+00:00,BTCUSD,-0.00030831
2022-11-13 16:00:00+00:00,BTCUSD,-0.00051929
2022-11-13 08:00:00+00:00,BTCUSD,-0.0003675
2022-11-13 00:00:00+00:00,BTCUSD,-0.0007665
2022-11-12 16:00:00+00:00,BTCUSD,-0.00066487
2022-11-12 08:00:00+00:00,BTCUSD,-0.00061062
2022-11-12 00:00:00+00:00,BTCUSD,-0.00037476
2022-11-11 16:00:00+00:00,BTCUSD,-0.00080627
2022-11-11 08:00:00+00:00,BTCUSD,-0.00058935
2022-11-11 00:00:00+00:00,BTCUSD,-0.00086307
2022-11-10 16:00:00+00:00,BTCUSD,-0.00112657
2022-11-10 08:00:00+00:00,BTCUSD,-0.00079135
2022-11-10 00:00:00+00:00,BTCUSD,-0.00159473
2022-11-09 16:00:00+00:00,BTCUSD,-0.00029296
2022-11-09 08:00:00+00:00,BTCUSD,3.445e-05
2022-11-09 00:00:00+00:00,BTCUSD,-0.00032659
2022-11-08 16:00:00+00:00,BTCUSD,-5.91e-06
2022-11-08 08:00:00+00:00,BTCUSD,-8.452e-05
2022-11-08 00:00:00+00:00,BTCUSD,3.76e-06
2022-11-07 16:00:00+00:00,BTCUSD,0.0001
2022-11-07 08:00:00+00:00,BTCUSD,0.0001
2022-11-07 00:00:00+00:00,BTCUSD,0.0001
2022-11-06 16:00:00+00:00,BTCUSD,0.0001
2022-11-06 08:00:00+00:00,BTCUSD,0.0001
2022-11-06 00:00:00+00:00,BTCUSD,1.438e-05
2022-11-05 16:00:00+00:00,BTCUSD,8.222e-05
2022-11-05 08:00:00+00:00,BTCUSD,3.472e-05
2022-11-05 00:00:00+00:00,BTCUSD,-5.872e-05
2022-11-04 16:00:00+00:00,BTCUSD,3.91e-05
2022-11-04 08:00:00+00:00,BTCUSD,6.478e-05
2022-11-04 00:00:00+00:00,BTCUSD,2.006e-05
2022-11-03 16:00:00+00:00,BTCUSD,4.515e-05
2022-11-03 08:00:00+00:00,BTCUSD,3.13e-05
2022-11-03 00:00:00+00:00,BTCUSD,5.449e-05
2022-11-02 16:00:00+00:00,BTCUSD,0.0001
2022-11-02 08:00:00+00:00,BTCUSD,0.0001
2022-11-02 00:00:00+00:00,BTCUSD,0.0001
2022-11-01 16:00:00+00:00,BTCUSD,2.341e-05
2022-11-01 08:00:00+00:00,BTCUSD,-6.561e-05
2022-11-01 00:00:00+00:00,BTCUSD,4.807e-05
2022-10-31 16:00:00+00:00,BTCUSD,7.135e-05
2022-10-31 08:00:00+00:00,BTCUSD,4.227e-05
2022-10-31 00:00:00+00:00,BTCUSD,8.561e-05
2022-10-30 16:00:00+00:00,BTCUSD,8.988e-05
2022-10-30 08:00:00+00:00,BTCUSD,0.0001
2022-10-30 00:00:00+00:00,BTCUSD,0.0001
2022-10-29 16:00:00+00:00,BTCUSD,4.648e-05
2022-10-29 08:00:00+00:00,BTCUSD,5.508e-05
2022-10-29 00:00:00+00:00,BTCUSD,7.71e-06
2022-10-28 16:00:00+00:00,BTCUSD,-2.93e-05
2022-10-28 08:00:00+00:00,BTCUSD,4.762e-05
2022-10-28 00:00:00+00:00,BTCUSD,0.0001
2022-10-27 16:00:00+00:00,BTCUSD,7.01e-05
2022-10-27 08:00:00+00:00,BTCUSD,5.521e-05
2022-10-27 00:00:00+00:00,BTCUSD,3.447e-05
2022-10-26 16:00:00+00:00,BTCUSD,4.227e-05
2022-10-26 08:00:00+00:00,BTCUSD,2.068e-05
2022-10-26 00:00:00+00:00,BTCUSD,9.392e-05
2022-10-25 16:00:00+00:00,BTCUSD,5.54e-05
2022-10-25 08:00:00+00:00,BTCUSD,8.941e-05
2022-10-25 00:00:00+00:00,BTCUSD,-5.249e-05
2022-10-24 16:00:00+00:00,BTCUSD,2.546e-05
2022-10-24 08:00:00+00:00,BTCUSD,0.0001
2022-10-24 00:00:00+00:00,BTCUSD,-2.853e-05
2022-10-23 16:00:00+00:00,BTCUSD,8.406e-05
2022-10-23 08:00:00+00:00,BTCUSD,1.853e-05
2022-10-23 00:00:00+00:00,BTCUSD,-6.296e-05
2022-10-22 16:00:00+00:00,BTCUSD,-2.12e-06
2022-10-22 08:00:00+00:00,BTCUSD,-3.144e-05
2022-10-22 00:00:00+00:00,BTCUSD,-4.268e-05
2022-10-21 16:00:00+00:00,BTCUSD,4.852e-05
2022-10-21 08:00:00+00:00,BTCUSD,9.05e-05
2022-10-21 00:00:00+00:00,BTCUSD,4.432e-05
2022-10-20 16:00:00+00:00,BTCUSD,-4.643e-05
2022-10-20 08:00:00+00:00,BTCUSD,4.509e-05
2022-10-20 00:00:00+00:00,BTCUSD,7.548e-05
2022-10-19 16:00:00+00:00,BTCUSD,0.0001
2022-10-19 08:00:00+00:00,BTCUSD,2.288e-05
2022-10-19 00:00:00+00:00,BTCUSD,0.0001
2022-10-18 16:00:00+00:00,BTCUSD,7.909e-05
2022-10-18 08:00:00+00:00,BTCUSD,2.226e-05
2022-10-18 00:00:00+00:00,BTCUSD,4.183e-05
2022-10-17 16:00:00+00:00,BTCUSD,-3.218e-05
2022-10-17 08:00:00+00:00,BTCUSD,4.72e-05
2022-10-17 00:00:00+00:00,BTCUSD,3.018e-05
2022-10-16 16:00:00+00:00,BTCUSD,8.53e-06
2022-10-16 08:00:00+00:00,BTCUSD,3.84e-05
2022-10-16 00:00:00+00:00,BTCUSD,-4.156e-05
2022-10-15 16:00:00+00:00,BTCUSD,9.038e-05
2022-10-15 08:00:00+00:00,BTCUSD,6.387e-05
2022-10-15 00:00:00+00:00,BTCUSD,3.378e-05
